0:0:0:0:0:0:0:1 - - [26/May/2017:20:28:20 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [26/May/2017:20:28:20 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:28:21 +0800] "GET /gg_shop/images/1.jpg HTTP/1.1" 200 33839
0:0:0:0:0:0:0:1 - - [26/May/2017:20:29:16 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [26/May/2017:20:29:44 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 1862
0:0:0:0:0:0:0:1 - - [26/May/2017:20:30:31 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 1870
0:0:0:0:0:0:0:1 - - [26/May/2017:20:30:31 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:31:37 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 1881
0:0:0:0:0:0:0:1 - - [26/May/2017:20:38:39 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 1776
0:0:0:0:0:0:0:1 - - [26/May/2017:20:38:39 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:41:10 +0800] "GET /gg_shop/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:41:10 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:41:14 +0800] "GET /gg_shop/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:41:19 +0800] "GET /gg_shop/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:44:09 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2801
0:0:0:0:0:0:0:1 - - [26/May/2017:20:44:09 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:47:27 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2011
0:0:0:0:0:0:0:1 - - [26/May/2017:20:47:27 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:53:20 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2231
0:0:0:0:0:0:0:1 - - [26/May/2017:20:53:20 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:53:20 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:53:20 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:20:54:37 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2337
0:0:0:0:0:0:0:1 - - [26/May/2017:21:08:08 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2355
0:0:0:0:0:0:0:1 - - [26/May/2017:21:08:08 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:08:08 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:11:54 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2368
0:0:0:0:0:0:0:1 - - [26/May/2017:21:14:19 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [26/May/2017:21:14:19 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:14:55 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2451
0:0:0:0:0:0:0:1 - - [26/May/2017:21:16:40 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [26/May/2017:21:19:26 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2444
0:0:0:0:0:0:0:1 - - [26/May/2017:21:21:15 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2432
0:0:0:0:0:0:0:1 - - [26/May/2017:21:21:15 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [26/May/2017:21:23:43 +0800] "GET /gg_shop/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:23:44 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:24:09 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [26/May/2017:21:24:09 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:28:12 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2460
0:0:0:0:0:0:0:1 - - [26/May/2017:21:28:12 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:28:12 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:28:12 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:28:37 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2431
0:0:0:0:0:0:0:1 - - [26/May/2017:21:29:29 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2463
0:0:0:0:0:0:0:1 - - [26/May/2017:21:29:29 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:34:46 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [26/May/2017:21:34:46 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:34:59 +0800] "GET /gg_shop/index.html HTTP/1.1" 200 2441
0:0:0:0:0:0:0:1 - - [26/May/2017:21:34:59 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [26/May/2017:21:34:59 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:34:59 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:34:59 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [26/May/2017:21:41:49 +0800] "GET /gg_shop/welcome.html HTTP/1.1" 200 7312
0:0:0:0:0:0:0:1 - - [26/May/2017:21:43:15 +0800] "GET /gg_shop/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:47:46 +0800] "GET /gg_shop/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:47:46 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:47:46 +0800] "GET /gg_shop/bootstrap-3.3.7-dist/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:49:37 +0800] "GET /gg_shop/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:50:38 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [26/May/2017:21:50:38 +0800] "GET /gg_shop/css/images/1.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [26/May/2017:21:51:22 +0800] "GET /gg_shop/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:51:22 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:51:22 +0800] "GET /gg_shop/css/images/1.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [26/May/2017:21:51:39 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:51:40 +0800] "GET /gg_shop/css/images/1.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [26/May/2017:21:52:19 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:52:19 +0800] "GET /gg_shop/css/images/1.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [26/May/2017:21:54:16 +0800] "GET /gg_shop/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:54:16 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [26/May/2017:21:54:16 +0800] "GET /gg_shop/css/images/1.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [26/May/2017:21:54:21 +0800] "GET /gg_shop/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:54:21 +0800] "GET /gg_shop/css/index.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/May/2017:21:54:21 +0800] "GET /gg_shop/css/images/1.jpg HTTP/1.1" 404 999
